BN,BW,LP,FS,FE,MIC,FL,FU,SFBA,FFBA,EFBA,SFBL,FFBL,EFBL,FBA,NNFF,FBN,FBL,LBN,PH,PW,PBS
15.4,5.98,39.46499874,28.6,10.8,4.155,29.14,84.1,64.79,64.65,60.87,13.65,16.85,18.95,63.44,5.1,11.2,16.48,2.7,79.1,50.3,0.49
11.95,5.61,39.94996237,22.15,10.95,4.63,26.79,83.3,62.58,58.93,61.02,18,21.15,11.95,60.84,5.9,10,17.03,2.6,64.7,41.4,0.4
12.25,5.21,41.24978511,23.8,9.95,4.08,27.945,84.85,73.63,63.45,70.05,15.2,19.9,16.55,69.04,5.3,10.5,17.22,2.6,78.2,50,0.26
11.2,5.51,41.59266735,24.55,11.5,4.575,29.295,84.75,69.79,63.2,59.89,13.35,23.05,14,64.29,6,10.2,16.8,2.4,74.3,45.7,0.66
15.35,4.68,42.78636384,24.2,10,5.055,28.895,83.75,65.04,59.96,60.29,14.3,20.55,18.2,61.76,5.1,10.5,17.68,2.2,91,57.3,0.28
17.95,5.7,36.81241301,27.25,11.2,4.99,30.485,85.45,72.74,67.05,65.55,14,24.9,19.45,68.45,5,9.9,19.45,3,62.2,45.1,0.32
15.35,6.18,38.43330427,23.8,10.85,4.635,29.53,83.55,64.27,58.05,55.68,19.85,23.7,16.15,59.33,6.4,9.1,19.9,3.8,71.7,45.2,0.33
12.85,5.94,42.37852795,25.8,10.1,4.305,31.095,85.55,73.48,60.98,60.57,13.95,27.35,21.95,65.01,5.7,11.2,21.08,2.9,88.2,48.5,0.38
14.55,8.99,31.32899748,29.25,7.9,4.145,29.78,85.45,69.56,61.43,59.74,20.8,27.45,18.4,63.58,5.3,9.9,22.22,2.6,67.6,54.6,0.54
15.3,6.2,41.17628162,25.15,8,4.395,29.67,85.7,70.95,61.08,59.31,19.75,29.2,19.35,63.78,4.8,10.2,22.77,1.8,87.8,55.7,0.19
16.2,6.21,39.77903217,26.45,9.7,4.725,30.485,85.65,73.68,63.01,61,13.95,23,20.45,65.9,5.2,10.9,19.13,1.4,84.6,47.1,0.37
17.65,5.31,39.45609946,23.45,9.85,4.675,27.31,82.5,72.09,60.76,65.24,22.6,24.3,20.1,66.03,5.2,10.6,22.33,1.7,87,64.6,0.43
17.8,5.4,37.91759895,26.9,11.9,3.53,31.555,86.9,57.47,48.25,50.76,7.4,15.85,14.25,52.16,4.7,10.8,12.5,1.5,85.8,39.1,0.83
14.2,5.51,37.09271595,25.5,9.15,4.405,28.89,84.65,75,70.28,60.89,18.1,29.3,26.25,68.72,5,10.3,24.55,1.5,87,50.8,0.41
16.8,4.56,33.5158858,25.3,8.65,4.9,26.87,84.65,76.01,67.59,66.83,18.05,34.44,33.8,70.23,4.7,11.3,28.73,2.2,74.8,62,0.36
9.95,6.44,34.50528293,25.6,9.5,4.185,27.985,85.95,63.02,61.01,57.82,8.05,13.35,8.35,60.62,3.9,10.4,9.92,1.1,66.9,49.5,0.33
13.4,5.83,35.11579402,27.2,9.15,4.3,29.585,83.9,65.28,67,67.04,11.37,17.54,11.98,66.44,4.5,9.5,13.63,1.7,65,45.9,0.49
14.3,5.68,40.01620863,25.65,9.7,4.415,29.36,85.2,64.82,61.18,61.24,13.3,20.15,16.95,62.41,5.2,10.6,16.8,2.3,73.9,40,0.68
12.95,5.77,41.29333117,24.95,11.35,4.91,28.535,86.2,63.59,67.98,67.19,16.82,25.64,20.96,66.25,4.9,10.5,21.14,2.3,81.8,42.8,0.35
13.15,5.74,37.79597595,27.4,7.7,4.48,29.44,84.95,70.56,61.63,57.64,9.9,14.65,13.1,63.28,4.6,10.9,12.55,1.3,82.3,39.4,0.52
11.05,5.09,34.00830563,23.7,7.95,3.655,27.165,80.55,67.93,66.85,68.35,10.65,17.4,13.25,67.71,4,9.5,13.77,1.3,55.5,34.9,0.19
19.45,4.41,33.42802283,27.45,9,4.205,27.935,82.9,62.79,62.19,59.82,8.4,15.5,11.45,61.6,4.3,11.4,11.78,1.1,83.8,24.6,0.39
14,5.61,35.04308001,26,9.05,4.295,27.21,84.05,75.64,69.07,69.71,15.5,17.96,15.22,71.47,4.3,11.6,16.23,1.7,68.9,47.1,0.23
12.95,6.3,36.63602776,27.2,9.3,4.54,28.605,85.35,74.59,63.42,53.16,11.2,17.05,11.75,63.72,4,10.7,13.33,2.1,65.3,38.4,0.29
13.05,5.23,36.06215107,27.25,8.9,4.13,27.3,84.25,69.91,70.26,69.48,8.6,10.7,9.9,69.88,3.9,10.3,9.73,1.3,55.8,32.9,0.33
18.65,5.99,38.80314236,26.1,7.8,4.56,29.33,85.15,73.18,66.22,65.01,17.2,21.3,15.95,68.14,4.8,10,18.15,1.9,76.4,45,0.39
15.7,5.51,37.77365458,26.3,8.1,4.645,28.45,84.55,63.63,61.29,56.21,13.55,25.4,18.6,60.38,4.1,8.8,19.18,1.4,67.5,48.3,0.4
15.75,6.23,35.26849432,27.8,9.1,4.175,29.435,85.25,67.55,64.45,65.24,23.3,23.6,19.35,65.75,5,10.1,22.08,1.7,85.8,56.7,0.51
14.4,5.47,39.72104979,23.5,9.6,4.225,28.875,84.45,69.7,63.57,65.44,16.55,22.9,15.2,66.24,4.6,9.9,18.22,0.8,67.6,43.9,0.67
11.4,5.14,37.85558321,25.25,7.75,4.615,28.305,83.45,70.23,67.65,66.78,6.15,7.9,7.5,68.22,3.5,9.7,7.18,1.6,55.4,32.9,0.64
11.45,6.01,33.70271886,27.8,8.4,4.375,28.335,84.65,68.61,63.86,63.82,13.55,20.45,15,65.43,4.4,10.7,16.33,2.1,77.9,57.1,0.23
11.8,5.21,39.94782891,27.25,9.75,5.04,26.545,83,65.62,64.41,65.11,11.9,16.5,13,65.05,4.8,10,13.8,0.7,73.4,42.1,0.32
